Date,SO2,NOx,RSPM,AQI,Area
29-08-2005,20,38,84.0,84.0,Pimpri-Chinchwad
30-08-2005,21,43,94.0,94.0,Pimpri-Chinchwad
01-09-2005,17,35,74.0,74.0,Pimpri-Chinchwad
02-09-2005,15,28,68.0,68.0,Pimpri-Chinchwad
04-09-2005,17,31,72.0,72.0,Pimpri-Chinchwad
05-09-2005,20,36,91.0,91.0,Pimpri-Chinchwad
07-09-2005,18,32,87.0,87.0,Pimpri-Chinchwad
08-09-2005,15,31,70.0,70.0,Pimpri-Chinchwad
11-09-2005,14,25,49.0,49.0,Pimpri-Chinchwad
12-09-2005,11,21,29.0,29.0,Pimpri-Chinchwad
13-09-2005,14,25,36.0,36.0,Pimpri-Chinchwad
14-09-2005,16,30,42.0,42.0,Pimpri-Chinchwad
15-09-2005,12,21,32.0,32.0,Pimpri-Chinchwad
18-09-2005,12,22,34.0,34.0,Pimpri-Chinchwad
19-09-2005,12,22,34.0,34.0,Pimpri-Chinchwad
20-09-2005,15,29,40.0,40.0,Pimpri-Chinchwad
21-09-2005,16,30,44.0,44.0,Pimpri-Chinchwad
22-09-2005,14,27,41.0,41.0,Pimpri-Chinchwad
25-09-2005,13,28,28.0,35.0,Pimpri-Chinchwad
26-09-2005,17,35,74.0,74.0,Pimpri-Chinchwad
27-09-2005,19,37,88.0,88.0,Pimpri-Chinchwad
28-09-2005,18,34,77.0,77.0,Pimpri-Chinchwad
29-09-2005,16,30,62.0,62.0,Pimpri-Chinchwad
30-09-2005,18,35,58.0,58.0,Pimpri-Chinchwad
02-10-2005,19,38,77.0,77.0,Pimpri-Chinchwad
03-10-2005,15,28,50.0,50.0,Pimpri-Chinchwad
04-10-2005,15,28,50.0,50.0,Pimpri-Chinchwad
05-10-2005,21,40,103.0,102.0,Pimpri-Chinchwad
06-10-2005,16,31,79.0,79.0,Pimpri-Chinchwad
09-10-2005,13,24,56.0,56.0,Pimpri-Chinchwad
10-10-2005,15,27,76.0,76.0,Pimpri-Chinchwad
12-10-2005,16,29,63.0,63.0,Pimpri-Chinchwad
13-10-2005,15,27,64.0,64.0,Pimpri-Chinchwad
14-10-2005,17,33,72.0,72.0,Pimpri-Chinchwad
16-10-2005,18,26,82.0,82.0,Pimpri-Chinchwad
17-10-2005,13,22,47.0,47.0,Pimpri-Chinchwad
18-10-2005,15,30,64.0,64.0,Pimpri-Chinchwad
19-10-2005,18,32,75.0,75.0,Pimpri-Chinchwad
20-10-2005,17,35,61.0,61.0,Pimpri-Chinchwad
23-10-2005,19,35,79.0,79.0,Pimpri-Chinchwad
24-10-2005,22,40,90.0,90.0,Pimpri-Chinchwad
25-10-2005,19,37,80.0,80.0,Pimpri-Chinchwad
26-10-2005,18,34,70.0,70.0,Pimpri-Chinchwad
30-10-2005,18,35,77.0,77.0,Pimpri-Chinchwad
01-11-2005,21,39,101.0,101.0,Pimpri-Chinchwad
03-11-2005,20,39,89.0,89.0,Pimpri-Chinchwad
04-11-2005,22,41,102.0,101.0,Pimpri-Chinchwad
06-11-2005,21,38,99.0,99.0,Pimpri-Chinchwad
07-11-2005,20,37,90.0,90.0,Pimpri-Chinchwad
08-11-2005,22,40,101.0,101.0,Pimpri-Chinchwad
09-11-2005,22,39,112.0,108.0,Pimpri-Chinchwad
10-11-2005,18,32,98.0,98.0,Pimpri-Chinchwad
13-11-2005,15,27,97.0,97.0,Pimpri-Chinchwad
14-11-2005,19,34,103.0,102.0,Pimpri-Chinchwad
15-11-2005,15,27,83.0,83.0,Pimpri-Chinchwad
16-11-2005,18,32,102.0,101.0,Pimpri-Chinchwad
17-11-2005,21,40,122.0,115.0,Pimpri-Chinchwad
18-11-2005,19,34,109.0,106.0,Pimpri-Chinchwad
20-11-2005,19,37,98.0,98.0,Pimpri-Chinchwad
21-11-2005,21,39,106.0,104.0,Pimpri-Chinchwad
22-11-2005,19,32,97.0,97.0,Pimpri-Chinchwad
23-11-2005,20,36,104.0,103.0,Pimpri-Chinchwad
24-11-2005,22,38,135.0,123.0,Pimpri-Chinchwad
27-11-2005,23,41,105.0,103.0,Pimpri-Chinchwad
28-11-2005,25,42,114.0,109.0,Pimpri-Chinchwad
29-11-2005,22,39,108.0,105.0,Pimpri-Chinchwad
30-11-2005,23,40,113.0,109.0,Pimpri-Chinchwad
01-12-2005,26,43,132.0,121.0,Pimpri-Chinchwad
02-12-2005,23,37,114.0,109.0,Pimpri-Chinchwad
04-12-2005,26,40,123.0,115.0,Pimpri-Chinchwad
05-12-2005,24,37,120.0,113.0,Pimpri-Chinchwad
06-12-2005,27,40,131.0,121.0,Pimpri-Chinchwad
07-12-2005,23,32,137.0,125.0,Pimpri-Chinchwad
08-12-2005,28,39,125.0,117.0,Pimpri-Chinchwad
11-12-2005,30,46,141.0,127.0,Pimpri-Chinchwad
12-12-2005,26,41,119.0,113.0,Pimpri-Chinchwad
13-12-2005,27,33,130.0,120.0,Pimpri-Chinchwad
14-12-2005,22,30,126.0,117.0,Pimpri-Chinchwad
16-12-2005,22,33,128.0,119.0,Pimpri-Chinchwad
18-12-2005,25,37,132.0,121.0,Pimpri-Chinchwad
19-12-2005,29,38,141.0,127.0,Pimpri-Chinchwad
20-12-2005,25,35,130.0,120.0,Pimpri-Chinchwad
21-12-2005,29,47,138.0,125.0,Pimpri-Chinchwad
22-12-2005,33,56,162.0,141.0,Pimpri-Chinchwad
25-12-2005,23,42,119.0,113.0,Pimpri-Chinchwad
26-12-2005,26,45,130.0,120.0,Pimpri-Chinchwad
27-12-2005,28,48,137.0,125.0,Pimpri-Chinchwad
28-12-2005,34,57,131.0,121.0,Pimpri-Chinchwad
29-12-2005,36,59,136.0,124.0,Pimpri-Chinchwad
30-12-2005,38,57,148.0,132.0,Pimpri-Chinchwad
01-01-2006,33,54,142.0,128.0,Pimpri-Chinchwad
02-01-2006,35,61,140.0,127.0,Pimpri-Chinchwad
03-01-2006,31,53,156.0,137.0,Pimpri-Chinchwad
04-01-2006,28,56,166.0,144.0,Pimpri-Chinchwad
05-01-2006,23,47,148.0,132.0,Pimpri-Chinchwad
06-01-2006,26,51,155.0,137.0,Pimpri-Chinchwad
08-01-2006,23,49,153.0,135.0,Pimpri-Chinchwad
09-01-2006,26,42,132.0,121.0,Pimpri-Chinchwad
11-01-2006,21,44,134.0,123.0,Pimpri-Chinchwad
12-01-2006,25,42,129.0,119.0,Pimpri-Chinchwad
15-01-2006,25,42,128.0,119.0,Pimpri-Chinchwad
16-01-2006,BDL - 2,40,137.0,125.0,Pimpri-Chinchwad
17-01-2006,26,43,143.0,129.0,Pimpri-Chinchwad
18-01-2006,26,43,143.0,129.0,Pimpri-Chinchwad
19-01-2006,14,25,80.0,80.0,Pimpri-Chinchwad
20-01-2006,26,45,146.0,131.0,Pimpri-Chinchwad
22-01-2006,31,49,153.0,135.0,Pimpri-Chinchwad
23-01-2006,27,45,146.0,131.0,Pimpri-Chinchwad
24-01-2006,32,51,141.0,127.0,Pimpri-Chinchwad
26-01-2006,27,45,144.0,129.0,Pimpri-Chinchwad
29-01-2006,26,41,152.0,135.0,Pimpri-Chinchwad
30-01-2006,29,45,161.0,141.0,Pimpri-Chinchwad
01-02-2006,22,38,149.0,133.0,Pimpri-Chinchwad
02-02-2006,27,41,155.0,137.0,Pimpri-Chinchwad
03-02-2006,21,33,132.0,121.0,Pimpri-Chinchwad
05-02-2006,27,39,154.0,136.0,Pimpri-Chinchwad
06-02-2006,24,30,143.0,129.0,Pimpri-Chinchwad
07-02-2006,27,42,148.0,132.0,Pimpri-Chinchwad
08-02-2006,30,48,153.0,135.0,Pimpri-Chinchwad
09-02-2006,26,41,164.0,143.0,Pimpri-Chinchwad
12-02-2006,26,47,163.0,142.0,Pimpri-Chinchwad
13-02-2006,27,48,165.0,143.0,Pimpri-Chinchwad
14-02-2006,29,49,192.0,161.0,Pimpri-Chinchwad
15-02-2006,25,49,167.0,145.0,Pimpri-Chinchwad
16-02-2006,30,52,143.0,129.0,Pimpri-Chinchwad
17-02-2006,34,46,171.0,147.0,Pimpri-Chinchwad
